target_role,student_id,age,gender,city,state,pincode,education_level,institution,institution_tier,major,graduation_year,gpa,gpa_rounded,skills,skills_count,has_python,has_java,has_javascript,has_sql,projects_count,projects,internships_count,internship_companies,has_internship,premium_internship,work_experience_years,experience_level,has_experience,certifications,certifications_count,has_certification,has_github,has_linkedin,online_presence_score,expected_salary_lpa,willing_to_relocate,preferred_locations,education_experience_score,skill_certification_score,overall_profile_score,data_version
Machine Learning Engineer,STU000432,20,Female,Pune,Maharashtra,148681,PhD,IIT Guwahati,Tier-1,Data Science,2025,9.23,9,"Deep Learning, Scikit-learn, PyTorch, NLP, TensorFlow, Python, MLOps",7,1,0,0,0,5,Weather App - 2020 | Social Media App - 2020 | Weather App - 2020 | E-commerce Platform - 2022 | Social Media App - 2021,3,"Google, Freshworks, InMobi",1,1,1.4,Junior,1,"TensorFlow Developer Certificate, NVIDIA DLI Certifications, Azure AI Engineer",3,1,1,1,1.0,26.24,1,"Hyderabad, Bangalore, Pune",1.18,1.4,0.76,0cd8875c
Marketing Specialist,STU001232,24,Male,Pune,Maharashtra,555588,Master's,IIM Trichy,Tier-1,Mass Communication,2027,9.33,9,"Social Media, SEO, Brand Management, Google Analytics, Email Marketing, Content Marketing, PPC",7,0,0,0,0,5,HR Policy - 2020 | HR Policy - 2024 | HR Policy - 2023 | Financial Model - 2024 | Marketing Campaign - 2022,1,Capgemini,1,0,0.0,Fresher,0,"Google Analytics Certification, SEMrush Certification",2,1,0,1,0.5,9.77,1,Mumbai,0.93,1.17,0.67,0cd8875c
Electrical Engineer,STU003017,18,Male,Hyderabad,Telangana,831051,Master's,LPU,Tier-2,Electronics Engineering,2027,8.5,8,"Embedded Systems, Power Systems, MATLAB, Simulink, Circuit Design, VLSI, PLC",7,0,0,0,0,4,Bridge Design - 2021 | Circuit Design - 2023 | Building Plan - 2022 | Bridge Design - 2024,1,Bosch,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,11.81,1,"Hyderabad, Mumbai",0.85,0.7,0.54,0cd8875c
Product Manager,STU005720,21,Female,Chennai,Tamil Nadu,414498,PhD,St. Stephens Delhi,Tier-2,MBA,2027,7.99,8,"JIRA, MVP Development, Agile, User Stories, Market Research, Product Strategy",6,0,0,0,0,3,Market Analysis - 2020 | Marketing Campaign - 2020 | Market Analysis - 2022,1,Infosys,1,0,0.0,Fresher,0,Pragmatic Institute Certification,1,1,0,1,0.5,30.32,1,Hyderabad,0.8,0.8,0.55,0cd8875c
HR Generalist,STU007120,21,Male,Jaipur,Rajasthan,861216,PhD,Mumbai University,Tier-2,Psychology,2024,7.62,8,"Performance Management, Employee Relations, HR Policies, Communication, Training, Recruitment",6,0,0,0,0,4,HR Policy - 2023 | HR Policy - 2022 | Market Analysis - 2023 | Market Analysis - 2021,3,"Infosys, TCS, Ola Electric",1,0,2.1,Mid-Level,1,SHRM Certified,1,1,0,1,0.5,10.55,0,Hyderabad,1.08,0.8,0.6,0cd8875c
Product Manager,STU001527,25,Female,Delhi,Delhi,627990,Bachelor's,Ashoka University,Tier-2,Computer Science,2027,7.49,7,"MVP Development, Market Research, Product Strategy, Analytics, User Stories, JIRA",6,0,0,0,0,2,Marketing Campaign - 2021 | Marketing Campaign - 2024,1,Meesho,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,18.66,1,"Mumbai, Pune, Chennai",0.75,0.6,0.48,0cd8875c
UX Designer,STU000492,20,Female,Hyderabad,Telangana,461172,Bachelor's,IIT BHU,Tier-1,Design,2025,8.74,9,"Adobe XD, Wireframing, Prototyping, Information Architecture, Figma, Usability Testing, User Research, Sketch",8,0,0,0,0,2,Social Media App - 2022 | Task Manager - 2024,1,Infosys,1,0,1.1,Junior,1,None,0,0,1,1,1.0,6.53,1,Bangalore,1.07,0.8,0.61,0cd8875c
Civil Engineer,STU007252,22,Male,Jaipur,Rajasthan,579033,Bachelor's,NIT Trichy,Tier-2,Civil Engineering,2026,7.08,7,"AutoCAD, Project Management, Surveying, Revit, Construction Management, STAAD Pro, Structural Analysis",7,0,0,0,0,2,Circuit Design - 2022 | Bridge Design - 2020,1,ABB,1,0,0.8,Junior,1,Project Management Professional,1,1,0,1,0.5,4.83,1,Delhi-NCR,0.82,0.93,0.57,0cd8875c
Software Engineer,STU000795,25,Female,Ahmedabad,Gujarat,923021,Bachelor's,IIIT Hyderabad,Tier-1,Information Technology,2025,8.95,9,"C++, Java, Microservices, Algorithms, REST APIs, Data Structures, Git, Docker, SQL, Python",10,1,1,0,1,5,Weather App - 2021 | Task Manager - 2024 | Task Manager - 2023 | E-commerce Platform - 2024 | Social Media App - 2021,1,Zomato,1,0,1.9,Junior,1,Microsoft Certified: Azure Developer,1,1,0,1,0.5,9.93,0,"Pune, Chennai",1.24,1.33,0.75,0cd8875c
Data Scientist,STU007256,23,Female,Mumbai,Maharashtra,354192,Bachelor's,Amity University,Tier-2,Data Science,2026,6.79,7,"TensorFlow, Machine Learning, NumPy, Tableau, Data Visualization, SQL, Statistics, R, Python, Pandas",10,1,0,0,1,5,Weather App - 2022 | Social Media App - 2024 | Social Media App - 2020 | E-commerce Platform - 2021 | E-commerce Platform - 2021,3,"Wipro, Microsoft, VMware",1,1,0.2,Junior,1,None,0,0,1,1,1.0,13.48,1,"Bangalore, Hyderabad, Mumbai",0.71,1.0,0.59,0cd8875c
Financial Analyst,STU001112,18,Female,Delhi,Delhi,378662,Bachelor's,Pune University,Tier-2,Economics,2027,8.57,9,"Risk Analysis, Accounting, Python, Excel, Bloomberg, Valuation, Financial Modeling",7,1,0,0,0,5,HR Policy - 2022 | HR Policy - 2024 | Market Analysis - 2020 | Marketing Campaign - 2021 | Financial Model - 2023,2,"Meesho, Infosys",1,0,0.0,Fresher,0,CFA Level 1,1,1,0,1,0.5,10.61,1,Chennai,0.86,0.93,0.6,0cd8875c
Civil Engineer,STU004490,24,Male,Hyderabad,Telangana,736328,Bachelor's,IIT Bombay,Tier-1,Construction Technology,2024,7.5,8,"STAAD Pro, AutoCAD, Surveying, Revit, Construction Management, Structural Analysis, Project Management",7,0,0,0,0,4,Bridge Design - 2022 | Circuit Design - 2021 | Building Plan - 2024 | Building Plan - 2023,4,"Bosch, Siemens, Tata Motors, Bajaj Auto",1,0,2.4,Mid-Level,1,OSHA Certification,1,1,0,1,0.5,4.96,1,"Delhi-NCR, Pune",1.11,0.93,0.63,0cd8875c
Product Manager,STU000306,25,Female,Bangalore,Karnataka,988422,Bachelor's,Mumbai University,Tier-2,MBA,2027,8.81,9,"Market Research, User Stories, Analytics, Agile, MVP Development, Product Strategy, JIRA, Wireframing",8,0,0,0,0,4,Marketing Campaign - 2020 | HR Policy - 2020 | Market Analysis - 2024 | Market Analysis - 2022,0,None,0,0,0.0,Fresher,0,None,0,0,0,0,0.0,13.61,1,"Bangalore, Chennai",0.88,0.8,0.58,0cd8875c
Marketing Specialist,STU000126,19,Female,Chennai,Tamil Nadu,414870,Bachelor's,Delhi University,Tier-2,Marketing,2026,7.09,7,"Email Marketing, SEO, Social Media, PPC, Google Analytics, Content Marketing, Brand Management",7,0,0,0,0,5,Market Analysis - 2021 | Marketing Campaign - 2021 | Marketing Campaign - 2024 | HR Policy - 2023 | Marketing Campaign - 2020,3,"Capgemini, Zerodha, PhysicsWallah",1,0,0.6,Junior,1,Google Analytics Certification,1,1,0,1,0.5,7.87,0,"Bangalore, Mumbai",0.79,0.93,0.57,0cd8875c
UX Designer,STU006652,25,Female,Jaipur,Rajasthan,580859,Bachelor's,IIIT Pune,Tier-2,Design,2027,6.26,6,"Wireframing, User Research, Adobe XD, Prototyping, Information Architecture, Figma",6,0,0,0,0,4,Task Manager - 2023 | Weather App - 2023 | Task Manager - 2020 | Weather App - 2024,2,"InMobi, Oracle",1,0,0.0,Fresher,0,"Google UX Design Professional, HFI Certification",2,1,0,1,0.5,6.76,1,"Chennai, Delhi-NCR, Bangalore",0.63,1.0,0.55,0cd8875c
Research Scientist,STU000326,19,Male,Pune,Maharashtra,460262,Master's,Christ University,Tier-2,Physics,2027,7.33,7,"R, Data Analysis, Python, Research Methodology, Technical Writing, Grant Writing, Lab Techniques",7,1,0,0,0,2,Lab Experiment - 2021 | Research Paper - 2020,1,Groww,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,12.92,1,Mumbai,0.73,0.7,0.51,0cd8875c
Electrical Engineer,STU001965,19,Male,Bangalore,Karnataka,564540,Bachelor's,NIT Surathkal,Tier-2,Electrical Engineering,2028,8.23,8,"Circuit Design, PLC, Embedded Systems, Power Systems, VLSI, Simulink, MATLAB",7,0,0,0,0,2,Circuit Design - 2023 | Thermal Analysis - 2024,1,ABB,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,6.47,1,"Delhi-NCR, Chennai",0.82,0.7,0.54,0cd8875c
Civil Engineer,STU005353,19,Female,Kolkata,West Bengal,475807,Master's,VIT Vellore,Tier-2,Civil Engineering,2026,9.09,9,"Structural Analysis, Construction Management, AutoCAD, Revit, Surveying, Project Management, STAAD Pro",7,0,0,0,0,2,Bridge Design - 2024 | Bridge Design - 2023,3,"Bajaj Auto, Tata Motors, Siemens",1,0,0.2,Junior,1,OSHA Certification,1,1,0,1,0.5,7.24,0,"Chennai, Delhi-NCR, Bangalore",0.95,0.93,0.62,0cd8875c
HR Generalist,STU008958,24,Male,Delhi,Delhi,368622,Bachelor's,NMIMS,Tier-2,HR Management,2025,8.78,9,"Excel, Recruitment, HR Policies, Training, Employee Relations, Communication, Performance Management",7,0,0,0,0,3,Market Analysis - 2024 | Marketing Campaign - 2024 | Financial Model - 2020,4,"BlackBuck, BlackBuck, Oracle, Accenture",1,0,1.7,Junior,1,HRCI Certification,1,1,0,1,0.5,5.94,1,"Hyderabad, Bangalore",1.18,0.93,0.65,0cd8875c
Software Engineer,STU000590,25,Female,Lucknow,Uttar Pradesh,499534,Master's,IIT Roorkee,Tier-1,Software Engineering,2027,8.69,9,"Java, Data Structures, Git, Python, C++, SQL, Algorithms, REST APIs, Docker",9,1,1,0,1,2,Task Manager - 2023 | Task Manager - 2024,1,Flipkart,1,0,0.0,Fresher,0,None,0,0,1,1,1.0,12.56,0,"Mumbai, Pune, Bangalore",0.87,0.9,0.61,0cd8875c
DevOps Engineer,STU001040,25,Male,Kolkata,West Bengal,716618,Bachelor's,IIT Delhi,Tier-1,Computer Science,2027,8.05,8,"Terraform, Monitoring, Git, Jenkins, Linux, AWS, Kubernetes, Ansible",8,0,0,0,0,3,E-commerce Platform - 2020 | Weather App - 2020 | Task Manager - 2023,0,None,0,0,0.0,Fresher,0,"Docker Certified Associate, Certified Kubernetes Administrator",2,1,1,1,1.0,13.58,0,Bangalore,0.81,1.33,0.66,0cd8875c
Research Scientist,STU003274,19,Female,Chennai,Tamil Nadu,724946,Diploma,Calcutta University,Tier-2,Physics,2027,7.85,8,"Research Methodology, Python, Technical Writing, Lab Techniques, R, Data Analysis, Grant Writing",7,1,0,0,0,3,Lab Experiment - 2021 | Research Paper - 2020 | Research Paper - 2023,1,Wipro,1,0,0.0,Fresher,0,Good Laboratory Practices,1,1,0,1,0.5,7.07,1,"Mumbai, Pune, Chennai",0.78,0.93,0.57,0cd8875c
Civil Engineer,STU002097,26,Female,Chennai,Tamil Nadu,781823,Bachelor's,IIT Delhi,Tier-1,Construction Technology,2026,8.65,9,"Project Management, Revit, Construction Management, STAAD Pro, Structural Analysis, AutoCAD, Surveying",7,0,0,0,0,4,Building Plan - 2020 | Thermal Analysis - 2023 | Circuit Design - 2020 | Circuit Design - 2021,4,"Bajaj Auto, ABB, Bajaj Auto, Bosch",1,0,0.4,Junior,1,"AutoCAD Certified Professional, LEED Green Associate",2,1,0,1,0.5,5.84,1,"Mumbai, Delhi-NCR",0.93,1.17,0.66,0cd8875c
Civil Engineer,STU004732,21,Male,Lucknow,Uttar Pradesh,183917,Bachelor's,IIT BHU,Tier-1,Construction Technology,2027,7.13,7,"Surveying, Project Management, STAAD Pro, Revit, Construction Management, Structural Analysis, AutoCAD",7,0,0,0,0,4,Circuit Design - 2022 | Circuit Design - 2023 | Thermal Analysis - 2022 | Circuit Design - 2023,2,"Tata Motors, Reliance",1,0,0.0,Fresher,0,"OSHA Certification, Project Management Professional, AutoCAD Certified Professional",3,1,0,1,0.5,6.52,0,"Chennai, Delhi-NCR",0.71,1.4,0.65,0cd8875c
HR Generalist,STU007649,23,Male,Kolkata,West Bengal,800859,Master's,IIM Ahmedabad,Tier-1,Business Administration,2026,7.11,7,"Performance Management, Employee Relations, HR Policies, Excel, Training, Communication, Recruitment",7,0,0,0,0,2,Financial Model - 2022 | Financial Model - 2023,2,"CRED, Groww",1,0,0.2,Junior,1,LinkedIn Recruiter Certification,1,1,0,1,0.5,7.18,0,"Hyderabad, Chennai",0.74,0.93,0.56,0cd8875c
Electrical Engineer,STU007911,24,Male,Pune,Maharashtra,368184,Master's,NIT Warangal,Tier-2,Electronics Engineering,2027,9.19,9,"Simulink, Embedded Systems, Circuit Design, PLC, Power Systems, VLSI, MATLAB",7,0,0,0,0,5,Circuit Design - 2021 | Circuit Design - 2023 | Thermal Analysis - 2023 | Building Plan - 2022 | Thermal Analysis - 2020,1,Reliance,1,0,0.0,Fresher,0,"Certified Automation Professional, MATLAB Certified",2,1,0,1,0.5,8.0,1,"Chennai, Delhi-NCR, Hyderabad",0.92,1.17,0.66,0cd8875c
Machine Learning Engineer,STU003071,23,Female,Hyderabad,Telangana,813801,Master's,IIT Hyderabad,Tier-1,AI/ML,2026,8.92,9,"MLOps, Keras, PyTorch, Deep Learning, NLP, Python, Scikit-learn, TensorFlow",8,1,0,0,0,5,Weather App - 2022 | Social Media App - 2023 | E-commerce Platform - 2020 | E-commerce Platform - 2020 | Social Media App - 2024,2,"KPMG, Deloitte",1,0,0.8,Junior,1,AWS Certified Machine Learning,1,1,0,1,0.5,17.91,1,"Pune, Chennai",1.03,1.07,0.66,0cd8875c
Financial Analyst,STU008075,22,Male,Jaipur,Rajasthan,137267,Master's,NMIMS,Tier-2,Commerce,2026,6.6,7,"Financial Modeling, Accounting, Excel, Bloomberg, Python, Valuation, Risk Analysis",7,1,0,0,0,4,Marketing Campaign - 2023 | Market Analysis - 2020 | HR Policy - 2020 | Financial Model - 2022,1,IBM,1,0,0.3,Junior,1,CFA Level 1,1,1,0,1,0.5,15.66,1,"Bangalore, Hyderabad",0.7,0.93,0.55,0cd8875c
Marketing Specialist,STU008579,25,Male,Jaipur,Rajasthan,433023,Master's,NMIMS,Tier-2,Business Administration,2027,7.09,7,"Email Marketing, SEO, PPC, Social Media, Google Analytics, Brand Management, Content Marketing",7,0,0,0,0,3,Financial Model - 2024 | Financial Model - 2020 | Marketing Campaign - 2024,2,"Cognizant, Groww",1,0,0.0,Fresher,0,None,0,0,0,1,0.5,9.37,1,"Delhi-NCR, Bangalore",0.71,0.7,0.5,0cd8875c
Software Engineer,STU008755,26,Female,Lucknow,Uttar Pradesh,304938,Master's,IIT Delhi,Tier-1,Information Technology,2025,9.45,9,"C++, Git, Python, Java, Algorithms, REST APIs, Docker, Data Structures, Microservices",9,1,1,0,0,2,E-commerce Platform - 2024 | Task Manager - 2022,1,SAP,1,0,1.7,Junior,1,None,0,0,0,1,0.5,15.87,1,Bangalore,1.27,0.9,0.68,0cd8875c
Software Engineer,STU004125,21,Male,Hyderabad,Telangana,186317,PhD,IIT Bombay,Tier-1,Information Technology,2026,8.37,8,"Docker, Python, SQL, Java, C++, Data Structures, Git, REST APIs, Algorithms, Microservices",10,1,1,0,1,5,E-commerce Platform - 2024 | Weather App - 2021 | Social Media App - 2021 | E-commerce Platform - 2024 | E-commerce Platform - 2022,1,Directi,1,0,0.2,Junior,1,None,0,0,1,1,1.0,20.67,1,"Pune, Bangalore",0.87,1.0,0.64,0cd8875c
Financial Analyst,STU000897,21,Female,Bangalore,Karnataka,729237,Master's,IIM Lucknow,Tier-1,Economics,2027,9.42,9,"Financial Modeling, Valuation, Bloomberg, Accounting, Python, Excel",6,1,0,0,0,5,HR Policy - 2022 | Marketing Campaign - 2021 | Marketing Campaign - 2023 | Market Analysis - 2022 | Market Analysis - 2024,2,"SAP, Groww",1,0,0.0,Fresher,0,None,0,0,0,1,0.5,15.61,1,"Chennai, Hyderabad",0.94,0.6,0.54,0cd8875c
DevOps Engineer,STU003218,18,Male,Chennai,Tamil Nadu,814990,Bachelor's,Shiv Nadar University,Tier-2,Cloud Computing,2025,8.11,8,"Git, CI/CD, Terraform, Kubernetes, Docker, Linux",6,0,0,0,0,4,Social Media App - 2024 | Task Manager - 2022 | Weather App - 2020 | Weather App - 2022,2,"EY, Deloitte",1,0,1.5,Junior,1,"HashiCorp Certification, AWS Certified DevOps Engineer",2,1,1,1,1.0,10.05,0,Mumbai,1.05,1.0,0.64,0cd8875c
DevOps Engineer,STU006814,24,Female,Mumbai,Maharashtra,761233,Master's,IIIT Delhi,Tier-1,Cloud Computing,2027,8.65,9,"AWS, Jenkins, Monitoring, Docker, Git, Linux, Terraform, Kubernetes",8,0,0,0,0,5,Task Manager - 2022 | E-commerce Platform - 2020 | Social Media App - 2023 | Weather App - 2022 | Social Media App - 2022,0,None,0,0,0.0,Fresher,0,HashiCorp Certification,1,1,1,1,1.0,19.22,1,"Bangalore, Delhi-NCR, Hyderabad",0.86,1.07,0.63,0cd8875c
Mechanical Engineer,STU001423,20,Male,Ahmedabad,Gujarat,982975,Bachelor's,VIT Vellore,Tier-2,Mechanical Engineering,2026,8.27,8,"Manufacturing, Fluid Mechanics, FEA, AutoCAD, Thermodynamics, SolidWorks, CATIA",7,0,0,0,0,2,Building Plan - 2023 | Bridge Design - 2021,3,"Reliance, Bosch, Schneider Electric",1,0,0.1,Junior,1,"ASME Certification, SolidWorks Certified Professional, CATIA Certified",3,1,0,1,0.5,5.43,1,Mumbai,0.84,1.4,0.69,0cd8875c
Business Analyst,STU002988,25,Male,Delhi,Delhi,496342,Bachelor's,Hyderabad University,Tier-2,Statistics,2028,9.12,9,"Requirements Gathering, Visio, Stakeholder Management, Power BI, Excel, Tableau, SQL, Data Analysis",8,0,0,0,1,5,Financial Model - 2024 | Financial Model - 2021 | HR Policy - 2024 | HR Policy - 2021 | Marketing Campaign - 2021,0,None,0,0,0.0,Fresher,0,Certified Business Analysis Professional,1,1,0,1,0.5,7.53,0,Bangalore,0.91,1.07,0.64,0cd8875c
Mechanical Engineer,STU002074,26,Male,Pune,Maharashtra,634182,Bachelor's,NIT Rourkela,Tier-2,Automobile Engineering,2024,6.96,7,"CATIA, Manufacturing, AutoCAD, FEA, Fluid Mechanics, Thermodynamics, SolidWorks",7,0,0,0,0,2,Thermal Analysis - 2024 | Circuit Design - 2023,3,"Siemens, Samsung, Schneider Electric",1,0,2.3,Mid-Level,1,SolidWorks Certified Professional,1,1,0,1,0.5,8.19,1,Hyderabad,1.02,0.93,0.61,0cd8875c
Product Manager,STU000959,20,Male,Chennai,Tamil Nadu,983230,Bachelor's,Madras University,Tier-2,Computer Science,2024,6.05,6,"Wireframing, Analytics, User Stories, JIRA, Market Research, Product Strategy, Agile",7,0,0,0,0,2,Market Analysis - 2024 | Market Analysis - 2024,3,"Zerodha, Rivigo, PhysicsWallah",1,0,2.2,Mid-Level,1,"Certified Scrum Product Owner, Product School Certification, Pragmatic Institute Certification",3,1,0,1,0.5,18.82,1,Pune,0.87,1.4,0.68,0cd8875c
Machine Learning Engineer,STU002923,21,Female,Delhi,Delhi,209731,Master's,IIT Bombay,Tier-1,AI/ML,2026,9.57,10,"MLOps, Scikit-learn, Keras, PyTorch, TensorFlow, Computer Vision",6,0,0,0,0,4,Task Manager - 2022 | Task Manager - 2020 | Weather App - 2022 | Social Media App - 2023,3,"Directi, Google, PwC",1,1,0.6,Junior,1,TensorFlow Developer Certificate,1,1,0,1,0.5,21.14,1,"Mumbai, Bangalore",1.07,0.8,0.61,0cd8875c
Electrical Engineer,STU002238,23,Female,Ahmedabad,Gujarat,167313,Bachelor's,NIT Jaipur,Tier-2,Electronics Engineering,2027,6.58,7,"Power Systems, Simulink, MATLAB, PLC, VLSI, Circuit Design, Embedded Systems",7,0,0,0,0,5,Building Plan - 2024 | Thermal Analysis - 2020 | Building Plan - 2023 | Building Plan - 2023 | Thermal Analysis - 2021,1,L&T,1,0,0.0,Fresher,0,"MATLAB Certified, Certified Automation Professional",2,1,0,1,0.5,6.71,1,Chennai,0.66,1.17,0.59,0cd8875c
Product Manager,STU000132,24,Male,Kolkata,West Bengal,846348,Bachelor's,Christ University,Tier-2,MBA,2025,7.52,8,"MVP Development, User Stories, Analytics, Agile, Market Research, JIRA, Product Strategy",7,0,0,0,0,3,Market Analysis - 2020 | Market Analysis - 2021 | Marketing Campaign - 2023,4,"Accenture, EY, Accenture, Rivigo",1,0,1.7,Junior,1,"Product School Certification, Google Project Management",2,1,0,1,0.5,18.08,1,"Hyderabad, Pune",1.01,1.17,0.66,0cd8875c
Software Engineer,STU003484,22,Female,Kolkata,West Bengal,470931,Bachelor's,IIT BHU,Tier-1,Software Engineering,2025,7.56,8,"Git, Microservices, SQL, Java, C++, Algorithms, Data Structures",7,0,1,0,1,4,Task Manager - 2021 | Task Manager - 2020 | Task Manager - 2021 | Task Manager - 2024,1,Flipkart,1,0,1.3,Junior,1,Oracle Certified Professional,1,1,1,1,1.0,7.83,0,Hyderabad,0.95,0.93,0.6,0cd8875c
UX Designer,STU000753,24,Male,Delhi,Delhi,261164,Bachelor's,Manipal University,Tier-2,Design,2024,8.44,8,"Prototyping, Sketch, Usability Testing, Figma, Adobe XD, Wireframing, User Research, Information Architecture",8,0,0,0,0,5,E-commerce Platform - 2023 | Weather App - 2022 | Task Manager - 2023 | Social Media App - 2023 | Task Manager - 2024,1,Infosys,1,0,2.1,Mid-Level,1,NN/g UX Certification,1,1,0,1,0.5,9.41,0,"Mumbai, Bangalore, Hyderabad",1.2,1.07,0.68,0cd8875c
Software Engineer,STU006008,19,Female,Lucknow,Uttar Pradesh,541754,PhD,IIT Delhi,Tier-1,Information Technology,2026,8.34,8,"Docker, Algorithms, Python, SQL, Git, Microservices",6,1,0,0,1,3,Social Media App - 2022 | E-commerce Platform - 2022 | Weather App - 2023,3,"Zomato, VMware, Freshworks",1,0,0.2,Junior,1,None,0,0,0,1,0.5,21.16,0,"Bangalore, Mumbai, Hyderabad",0.87,0.6,0.51,0cd8875c
Web Developer,STU003528,20,Male,Bangalore,Karnataka,336757,Bachelor's,IIT Hyderabad,Tier-1,Computer Science,2028,8.89,9,"MongoDB, React, Express, CSS, Redux, Git, TypeScript, HTML, JavaScript",9,0,0,1,0,5,Task Manager - 2021 | Social Media App - 2023 | Weather App - 2023 | Weather App - 2020 | Task Manager - 2021,2,"Google, PhonePe",1,1,0.0,Fresher,0,MongoDB Certification,1,1,1,1,1.0,7.97,0,Hyderabad,0.89,1.2,0.67,0cd8875c
Product Manager,STU000793,19,Female,Mumbai,Maharashtra,818936,Bachelor's,St. Stephens Delhi,Tier-2,Business Administration,2024,8.48,8,"Agile, Market Research, Wireframing, Product Strategy, User Stories, Analytics, JIRA, MVP Development",8,0,0,0,0,4,Marketing Campaign - 2020 | HR Policy - 2022 | Market Analysis - 2023 | HR Policy - 2022,4,"Oracle, Accenture, PhysicsWallah, IBM",1,0,2.5,Mid-Level,1,"Google Project Management, Pragmatic Institute Certification, Certified Scrum Product Owner",3,1,0,1,0.5,21.17,0,"Bangalore, Chennai",1.27,1.6,0.79,0cd8875c
DevOps Engineer,STU007819,18,Female,Delhi,Delhi,224896,Master's,NIT Surathkal,Tier-2,Cloud Computing,2026,9.14,9,"Jenkins, Docker, CI/CD, Git, Ansible, Kubernetes, Linux, Terraform, AWS",9,0,0,0,0,4,E-commerce Platform - 2022 | Social Media App - 2022 | Task Manager - 2021 | Task Manager - 2022,3,"InMobi, UpGrad, Zomato",1,0,0.5,Junior,1,"Certified Kubernetes Administrator, Docker Certified Associate",2,1,1,0,0.5,19.29,1,"Bangalore, Mumbai, Delhi-NCR",1.01,1.5,0.74,0cd8875c
Data Scientist,STU003434,19,Female,Kolkata,West Bengal,342966,PhD,IIT Kharagpur,Tier-1,Computer Science,2028,8.61,9,"R, Statistics, TensorFlow, Data Visualization, NumPy, Tableau, Pandas, Machine Learning, Python, SQL",10,1,0,0,1,3,Social Media App - 2023 | Social Media App - 2020 | E-commerce Platform - 2024,1,Google,1,1,0.0,Fresher,0,"SAS Certified Specialist, TensorFlow Developer Certificate, IBM Data Science Professional",3,1,1,1,1.0,23.95,1,Pune,0.86,2.0,0.79,0cd8875c
Business Analyst,STU005818,25,Male,Kolkata,West Bengal,519202,Master's,IIM Raipur,Tier-1,Economics,2025,8.32,8,"Stakeholder Management, Tableau, Data Analysis, Power BI, SQL, Excel",6,0,0,0,1,4,Financial Model - 2024 | Financial Model - 2020 | Marketing Campaign - 2022 | Marketing Campaign - 2023,3,"Cisco, Infosys, Capgemini",1,0,1.2,Junior,1,IIBA Entry Certificate,1,1,0,1,0.5,12.64,1,Delhi-NCR,1.03,0.8,0.59,0cd8875c
Product Manager,STU004097,20,Male,Ahmedabad,Gujarat,796519,Bachelor's,Mumbai University,Tier-2,MBA,2024,7.22,7,"MVP Development, Agile, JIRA, Wireframing, Product Strategy, User Stories, Market Research, Analytics",8,0,0,0,0,4,Market Analysis - 2021 | Market Analysis - 2021 | Market Analysis - 2023 | Market Analysis - 2023,4,"Accenture, Cisco, CRED, TCS",1,0,2.6,Mid-Level,1,None,0,0,0,1,0.5,21.99,1,"Chennai, Bangalore",1.1,0.8,0.61,0cd8875c
HR Generalist,STU006684,18,Male,Jaipur,Rajasthan,722842,Master's,IIM Trichy,Tier-1,Business Administration,2027,8.44,8,"Performance Management, Excel, Recruitment, Training, Employee Relations, HR Policies, Communication",7,0,0,0,0,2,Financial Model - 2023 | Marketing Campaign - 2023,1,IBM,1,0,0.0,Fresher,0,HRCI Certification,1,1,0,1,0.5,7.59,0,"Bangalore, Chennai, Delhi-NCR",0.84,0.93,0.59,0cd8875c
Machine Learning Engineer,STU002334,21,Female,Delhi,Delhi,856972,Bachelor's,NIT Surathkal,Tier-2,Data Science,2026,7.38,7,"TensorFlow, Deep Learning, Computer Vision, PyTorch, Scikit-learn, NLP, Python, MLOps",8,1,0,0,0,5,Weather App - 2022 | Social Media App - 2021 | E-commerce Platform - 2023 | Task Manager - 2024 | Weather App - 2022,2,"Amazon, Freshworks",1,1,0.4,Junior,1,None,0,0,1,1,1.0,12.61,0,Hyderabad,0.8,0.8,0.55,0cd8875c
Financial Analyst,STU001317,25,Male,Pune,Maharashtra,614150,Bachelor's,JNU,Tier-2,Economics,2026,6.77,7,"Valuation, Accounting, Python, Bloomberg, Risk Analysis, Excel, Financial Modeling",7,1,0,0,0,3,Marketing Campaign - 2020 | Marketing Campaign - 2022 | Financial Model - 2023,1,Unacademy,1,0,0.1,Junior,1,"NSE Certified, FRM Certification, Financial Modeling Certificate",3,1,0,0,0.0,7.86,1,"Bangalore, Hyderabad",0.69,1.4,0.64,0cd8875c
Product Manager,STU003288,20,Male,Bangalore,Karnataka,285246,Master's,IIM Calcutta,Tier-1,Business Administration,2025,8.91,9,"Agile, Analytics, Product Strategy, Market Research, Wireframing, User Stories",6,0,0,0,0,5,HR Policy - 2022 | Financial Model - 2022 | Market Analysis - 2021 | Market Analysis - 2020 | Financial Model - 2024,2,"Ola Electric, Deloitte",1,0,1.7,Junior,1,"Google Project Management, Product School Certification",2,1,0,0,0.0,23.59,0,"Mumbai, Delhi-NCR",1.19,1.0,0.67,0cd8875c
